IdProxCurso;NomCurso;FechaInicio;FechaFin;HoraInicio;HoraFin;TituloComercial;Observaciones;CodCurso;Visible;Formulario;Duracion;CursoInem;IdCurso;Sala;Cliente;ObvVisible;Docente;InscripcionActiva;TipFormId;Online;IdCatProximosCursos
66;TÉCNICAS DE DISEÑO Y PRESENTACIÓN VISUAL;;;;;TÉCNICAS DE DISEÑO Y PRESENTACIÓN VISUAL;;DG100;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
67;COREL DRAW 10;;;;;COREL DRAW 10;;DG101;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
68;COREL PHOTO-PAINT 9;;;;;COREL PHOTO-PAINT 9;;DG102;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
69;MACROMEDIA FREEHAND 10;;;;;MACROMEDIA FREEHAND 10;;DG103;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
70;MACROMEDIA FIREWORKS 4;;;;;MACROMEDIA FIREWORKS 4;;DG104;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
71;MICROSOFT PHOTODRAW 2000;;;;;MICROSOFT PHOTODRAW 2000;;DG105;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
72;ADOBE PHOTOSHOP 6;;;;;ADOBE PHOTOSHOP 6;;DG106;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
73;ADOBE ILLUSTRATOR 9;;;;;ADOBE ILLUSTRATOR 9;;DG107;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
74;ADOBE IMAGEREADY 3;;;;;ADOBE IMAGEREADY 3;;DG108;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
75;ANIMATOR PRO 1.3;;;;;ANIMATOR PRO 1.3;;DG109;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
76;3D STUDIO MAX 3;;;;;3D STUDIO MAX 3;;DG110;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
77;MICROSOFT PUBLISHER 98;;;;;MICROSOFT PUBLISHER 98;;DG200;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
78;MICROSOFT PUBLISHER 2000;;;;;MICROSOFT PUBLISHER 2000;;DG201;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
79;QUARKXPRESS 4;;;;;QUARKXPRESS 4;;DG202;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
80;ADOBE INDESING 1.5;;;;;ADOBE INDESING 1.5;;DG203;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
81;ADOBE PAGEMAKER 7.0;;;;;ADOBE PAGEMAKER 7.0;;DG204;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
82;VENTURA PUBLISHER 2.0;;;;;VENTURA PUBLISHER 2.0;;DG205;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
83;ADOBE PREMIERE 5;;;;;ADOBE PREMIERE 5;;DG300;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
84;SOUND FORGE XP;;;;;SOUND FORGE XP;;DG301;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
85;GESTIÓN DE PROYECTOS MULTIMEDIA;;;;;GESTIÓN DE PROYECTOS MULTIMEDIA;;DG400;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
86;MACROMEDIA DIRECTOR 8;;;;;MACROMEDIA DIRECTOR 8;;DG401;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
87;MACROMEDIA AUTHORWARE 5;;;;;MACROMEDIA AUTHORWARE 5;;DG402;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
88;LINGO;;;;;LINGO;;DG403;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
89;ADOBE ACROBAT EDITOR 5;;;;;ADOBE ACROBAT EDITOR 5;;DG500;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
90;ADOBE GOLIVE 5;;;;;ADOBE GOLIVE 5;;DG501;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
91;MACROMEDIA FLASH 5;;;;;MACROMEDIA FLASH 5;;DG502;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
92;MACROMEDIA DREAMWEAVER 4;;;;;MACROMEDIA DREAMWEAVER 4;;DG503;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
93;MACROMEDIA ULTRADEV 4;;;;;MACROMEDIA ULTRADEV 4;;DG504;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
94;AUTOCAD v. 14: INICIACIÓN;;;;;AUTOCAD v. 14: INICIACIÓN;;DG600;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
95;AUTOCAD v. 14: AVANZADO;;;;;AUTOCAD v. 14: AVANZADO;;DG601;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
96;AUTOCAD v. 14: 3D;;;;;AUTOCAD v. 14: 3D;;DG602;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
97;AUTOCAD 2000: ACTUALIZACIÓN;;;;;AUTOCAD 2000: ACTUALIZACIÓN;;DG603;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
98;AUTOCAD 2000: INICIACIÓN;;;;;AUTOCAD 2000: INICIACIÓN;;DG604;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
99;AUTOCAD 2000: AVANZADO;;;;;AUTOCAD 2000: AVANZADO;;DG605;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
100;AUTOCAD 2000: 3D;;;;;AUTOCAD 2000: 3D;;DG606;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
101;MICROSTATION 95;;;;;MICROSTATION 95;;DG607;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
102;3D STUDIO VIZ;;;;;3D STUDIO VIZ;;DG608;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
103;JAVA - J2EE;;;;;JAVA - J2EE;;CI10;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;28
104;Sql server 2005: Administración;;;;;Sql server 2005: Administración;;CI11;FALSO;Empresa;20;FALSO;0;;;;;FALSO;;FALSO;28
105;Sql Server 2005: Programación;;;;;Sql Server 2005: Programación;;CI12;FALSO;Empresa;20;FALSO;0;;;;;FALSO;;FALSO;28
106;Crystal Reports 10;;;;;Crystal Reports 10;;CI13;FALSO;Empresa;20;FALSO;0;;;;;FALSO;;FALSO;28
107;Seguridad en el desarrollo WEB;;;;;Seguridad en el desarrollo WEB;;CI14;FALSO;Empresa;25;FALSO;0;;;;;FALSO;;FALSO;28
108;ASP .NET;;;;;ASP .NET;;CI15;FALSO;Empresa;20;FALSO;0;;;;;FALSO;;FALSO;28
109;2005/01 -Técnico en Software Ofimático;10-oct-05;02-feb-06;8:45;13:45;;;;FALSO;;369;VERDADERO;10;Gorbea;INEM;;José Luis;FALSO;;FALSO;
110;OFIMATICA;12-dic-05;29-dic-05;15:00;19:00;;L-X-J;;FALSO;;36;VERDADERO;11;IPARTEK;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
111;OFIMATICA (EXCEL + ACCESS);16-ene-06;02-feb-06;15:30;18:30;;;;FALSO;;36;VERDADERO;12;Ipartek;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
112;INTERNET;23-ene-06;26-ene-06;15:30;18:30;;;;FALSO;;12;VERDADERO;13;Ipartek;ERAGINKOR CONSULTING;;José Luis;FALSO;;FALSO;
113;PROJECT 2003;29-mar-06;05-abr-06;9:00;13:00;;L-M-X-J;;FALSO;;20;VERDADERO;15;Ipartek;ERAGINKOR CONSULTING;;José Luis;FALSO;;FALSO;
114;INTERNET (SSI);07-mar-06;15-mar-06;16:30;19:30;;M-X;;FALSO;;12;VERDADERO;16;Ipartek;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
115;INTERNET (SSI);21-mar-06;29-mar-06;16:30;19:30;;M-X;;FALSO;;12;VERDADERO;17;Ipartek;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
116;OFIMATICA;24-abr-06;09-may-06;15:00;19:00;;L-M-X-J;;FALSO;;36;VERDADERO;18;Ipartek;ERAGINKOR CONSULTING;;José Luis;FALSO;;FALSO;
117;OFIMATICA (Word-Excel - Access);20-feb-06;30-mar-06;17:00;20:00;;L-J;;FALSO;;36;VERDADERO;19;Coleg. Ingles/Donosti;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
118;OFIMATICA (SSI);10-abr-06;28-abr-06;16:30;20:00;;10-11-18-19-20-24-25-26-27-28 /04;;FALSO;;36;VERDADERO;20;Ipartek;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
119;PROJECT 2003 - INICIO;21-feb-06;06-mar-06;9:00;13:30;;;;FALSO;;10;VERDADERO;21;ULMA;ULMA;;José Luis;FALSO;;FALSO;
120;ARQUITECTURA REDES;22-feb-06;02-mar-06;9:00;14:00;;;;FALSO;;40;VERDADERO;22;ULMA;ULMA;;José Luis;FALSO;;FALSO;
121;PROJECT 2003 - AVANZADO (Estudio K);06-mar-06;21-mar-06;18:00;20:30;;L-M-X-J;;FALSO;;25;VERDADERO;23;Estudio K;ESTUDIO K;;José Luis;FALSO;;FALSO;
122;PHOTOSHOP;20-feb-06;03-mar-06;8:00;10:00;;L-M-X-J-V;;FALSO;;20;VERDADERO;24;Estudio K;ESTUDIO K;;Enrico;FALSO;;FALSO;
123;ACCESS& EXCEL 2003;02-may-06;16-may-06;18:00;20:00;;;;FALSO;;30;VERDADERO;25;Ipartek;IMBIZ;;Enrico;FALSO;;FALSO;
124;JAVA;24-abr-06;30-may-06;13:00;15:00;;L-M-X-J-V - Pedido: 2006/309;;FALSO;;50;VERDADERO;27;ECNA;ECNA;;Enrico;FALSO;;FALSO;
125;OFIMATICA (GARBEKO);17-may-06;31-may-06;15:30;19:30;;7 personas - Pedido:2006/409;;FALSO;;40;VERDADERO;28;Ipartek;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
126;TSO 01- Técnico en Software Ofimático;10-may-06;21-sep-06;08:30;14:00;;Pedido: 2006/0366;;FALSO;;384;VERDADERO;40;Ipartek - Gorbea;INEM;;Enrico / José Luis / Murgibe;FALSO;;FALSO;
127;Ofimática (SSI - Oficinas);18-sep-06;27-sep-06;16:00;19:00;;"18,19,20,25,26 y 27 Septiembre
Manejo Outlook
Internet
Windows. Temas mas relevantes
Access: Filtros, importación/exportación a Excel, word
Excel: Funcionamiento básico";;FALSO;;40;VERDADERO;110;Ipartek;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
128;Ofimática (SSI);21-nov-05;15-dic-05;16:30;19:30;;;;FALSO;;36;VERDADERO;194;IPARTEK;ERAGINKOR CONSULTING;;José Luis;FALSO;;FALSO;
129;Crystal Reports;17-jul-06;19-jul-06;14:00;19:00;;;;FALSO;;10;VERDADERO;195;Ipartek;CAMELOT;;Enrico;FALSO;;FALSO;
130;Excel 2003 - Avanzado;27-jun-06;20-jul-06;09:00;13:00;;6/7 Personas;;FALSO;;32;VERDADERO;198;Ipartek;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
131;Ofimática - Rezikleta;26-jun-06;03-nov-06;08:00;10:00;;"Personas con gente a su cargo. Perfil mas elevado. Formación en:
Word, Excel y Outllok 2003. La primera parte del curso en Junio/Julio, 26 al 14 de Julio";;FALSO;;36;VERDADERO;200;Behargintza Txorierri;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
132;TSO 02- Técnico en Software Ofimático;18-sep-06;03-ene-07;08:30;14:00;;;;FALSO;;384;VERDADERO;202;Ipartek;INEM;;Enrico / José Luis / Murgibe;FALSO;;FALSO;
133;JAVA Avanzado - Microserver;12-jul-06;28-jul-06;08:00;13:00;;;;FALSO;;40;VERDADERO;203;Ipartek - Pagasarri;Microserver Consulting;;Enrico;FALSO;;FALSO;
134;Ofimática (Matrici);28-sep-06;11-oct-06;16:00;19:00;;"Sistema Operativo (básico), Excel, Word y Outlook + Correo Mozzila
2006/672";;FALSO;;30;VERDADERO;206;Matrici;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
135;Access 2003 Ini-Medio;07-nov-06;16-nov-06;09:00;14:00;;"Se tramita como curso de Project
2006/806";;FALSO;;20;VERDADERO;208;Ipartek - Pagasarri;ERAGINKOR CONSULTING;;Enrico;FALSO;;FALSO;
136;Ofimática (Patxi S.Coop);09-nov-06;22-dic-06;17:30;19:30;;"Sist. Operativo + Word Iniciación + Excel Iniciación+ Correo (PC + PDA)
2006/828";;FALSO;;27;VERDADERO;215;Behargintza Txorierri;ERAGINKOR CONSULTING;;Josu;FALSO;;FALSO;
137;Excel 2003 - Básico (Aranceta);06-nov-06;07-nov-06;15:30;19:30;;7 Alumnos;;FALSO;;8;VERDADERO;216;Ipartek;GRUPO ARANCETA;;Enrico;FALSO;;FALSO;
138;Excel 2003 - Intermedio (Aranceta);08-nov-06;09-nov-06;15:30;19:30;;5 Alumnos;;FALSO;;8;VERDADERO;217;Ipartek;GRUPO ARANCETA;;Enrico;FALSO;;FALSO;
139;Excel 2003 - Intermedio (Aranceta);13-nov-06;14-nov-06;15:30;19:30;;4 Alumnos;;FALSO;;8;VERDADERO;218;Ipartek;GRUPO ARANCETA;;Enrico;FALSO;;FALSO;
140;Excel 2003 - Avanzado (Aranceta);15-nov-06;16-nov-06;15:30;19:30;;6 Personas;;FALSO;;8;VERDADERO;220;Ipartek;GRUPO ARANCETA;;Enrico;FALSO;;FALSO;
141;Word 2003 - Inicio (Aranceta);20-nov-06;21-nov-06;15:30;19:30;;5 Personas;;FALSO;;8;VERDADERO;221;Ipartek;GRUPO ARANCETA;;José Luis;FALSO;;FALSO;
142;Word 2003 - Inicio (Aranceta);22-nov-06;23-nov-06;15:30;19:30;;6 Personas;;FALSO;;8;VERDADERO;222;Ipartek;GRUPO ARANCETA;;José Luis;FALSO;;FALSO;
143;Word 2003 - Avanzado (Aranceta);27-nov-06;28-nov-06;15:30;19:30;;3 Personas;;FALSO;;8;VERDADERO;223;Ipartek;GRUPO ARANCETA;;José Luis;FALSO;;FALSO;
144;Freehand - Iniciación (Cartonajes Lantegi);20-nov-06;01-dic-06;12:00;14:00;;6-8 Personas con pocos conocimientos;;FALSO;;20;VERDADERO;224;Behargintza Txorierri;Cartonajes Lantegi;;Enrico;FALSO;;FALSO;
145;Outlook 2000 - Grp. 1- ( Cartonajes Lantegi);20-nov-06;24-nov-06;10:00;12:00;;;;FALSO;;10;VERDADERO;225;Behargintza Txorierri;Cartonajes Lantegi;;Enrico;FALSO;;FALSO;
146;Outlook 2000 - Grp. 2 - ( Cartonajes Lantegi);27-nov-06;01-dic-06;10:00;12:00;;;;FALSO;;10;VERDADERO;226;Behargintza Txorierri;Cartonajes Lantegi;;Enrico;FALSO;;FALSO;
147;Excel 2000 - Avanzado - (Cartonajes Lantegi);11-dic-06;22-dic-06;08:00;10:00;;5 Personas + gente que pueda venir del curso de Iniciación;;FALSO;;20;VERDADERO;227;Behargintza Txorierri;Cartonajes Lantegi;;José Luis / Josu;FALSO;;FALSO;
148;Excel 2000  - Inicio (Cartonajes Lantegi);11-dic-06;22-dic-06;00:00;00:00;;;;FALSO;;20;VERDADERO;228;Behatgintza Txorierri;Cartonajes Lantegi;;José Luis;FALSO;;FALSO;
149;TSO 03- Técnico en Software Ofimático;18-dic-06;27-mar-07;08:30;14:00;;;;FALSO;;384;VERDADERO;230;INEM;INEM;;Enrico / José Luis / Murgibe;FALSO;;FALSO;
